emp_no,first_name,last_name,birth_date,from_date,to_date,title
10095,Hilari,Morton,1965-01-03,1994-03-10,9999-01-01,Senior Staff
10122,Ohad,Esposito,1965-01-19,1998-08-06,9999-01-01,Technique Leader
10291,Dipayan,Seghrouchni,1965-01-23,1987-03-30,9999-01-01,Senior Staff
10476,Kokou,Iisaka,1965-01-01,1987-09-20,9999-01-01,Senior Staff
10663,Teunis,Noriega,1965-01-09,1999-02-12,9999-01-01,Technique Leader
10762,Lech,Himler,1965-01-19,1992-01-21,9999-01-01,Senior Staff
10933,Juyoung,Seghrouchni,1965-01-24,1993-08-02,9999-01-01,Senior Engineer
12155,Keiichiro,Glinert,1965-01-21,1993-09-16,9999-01-01,Engineer
12408,Rasiah,Sudkamp,1965-01-10,1995-04-18,9999-01-01,Senior Engineer
12643,Morrie,Schurmann,1965-01-30,1998-12-31,9999-01-01,Staff
